address,nearest_station_distance,cbd_distance
80 BEDOK NTH RD,0.653783759849585,11.06990148819036
78 BEDOK NTH RD,0.6114427493520886,11.03380866379234
135 BEDOK RESERVOIR RD,0.4953372080791136,8.705303261394807
148 BEDOK RESERVOIR RD,0.38527994536182136,8.807933132989602
81 BEDOK NTH RD,0.6749056445282297,11.08326769046842
142 BEDOK RESERVOIR RD,0.5328348383078088,8.945187816277095
124 BEDOK NTH RD,0.8437949543358608,10.953744333502842
705 BEDOK NTH RD,0.23909416120892404,9.510788115260064
554 BEDOK NTH ST 3,0.632353848570919,10.089870743197102
602 BEDOK RESERVOIR RD,0.71476447192529,8.363951630577557
508 BEDOK NTH AVE 3,0.35808366476071224,10.545890538105583
720 BEDOK RESERVOIR RD,0.7796610271189681,9.992705621960106
765 BEDOK RESERVOIR VIEW,0.42362694440684506,11.023579305280506
