stn_code,lat,lng
NE17,1.40454653668991,103.902072622229
CC1,1.29891164362677,103.84629250696
CC2,1.29686168649656,103.850667371637
CC3,1.2936577245386,103.855081226245
CC4,1.29399798636232,103.860350000188
CC5,1.29976684675139,103.86363696572
CC6,1.3028124684707,103.875337711089
CC7,1.30620190525331,103.882528081052
CC8,1.30854798388121,103.889064718377
CC9,1.3172473854035,103.892260753884
CC10,1.32607760171665,103.890391305725
CC11,1.33514150139202,103.888389300191
CC12,1.34250117805245,103.880177899184
CC13,1.35063361526525,103.872771660431
CC14,1.35161217074555,103.864151938651
CC15,1.35131580146658,103.84914026532
CC16,1.348707263451,103.839423132332
CC17,1.33767450815619,103.839529820338
CC19,1.32211373558877,103.814984510627
CC20,1.31743915158967,103.807379214161
CC21,1.31224029631595,103.796399122407
CC22,1.30663450405,103.790709404436
CC23,1.29975987493555,103.78745750525
CC24,1.29353349887123,103.784572738173
CC25,1.28257135772488,103.781752725064
CC26,1.27621352233766,103.791350313288
CC27,1.27225417749656,103.802631578766
CC28,1.27070647717762,103.809761611219
CC29,1.26538938374901,103.821530157095
CE1,1.28187378879209,103.859079764874
CE2,1.27625146423743,103.855447156279
DT1,1.37900211641036,103.761535114929
DT2,1.36981544925552,103.76443921414
DT3,1.36234486803558,103.767418254007
DT5,1.34122317558549,103.775794285083
DT6,1.33566161262214,103.783399113441
DT7,1.33085764536226,103.796906838288
DT8,1.32555623519898,103.807760304729
DT9,1.32248807089544,103.816013994259
DT10,1.32006555750626,103.826024401924
DT11,1.31399286264569,103.837714613091
DT12,1.30701826765224,103.848660935092
DT13,1.30385218527656,103.852769428884
DT14,1.29931350344582,103.857125959023
DT15,1.29289175383295,103.860891800025
DT16,1.28187378879209,103.859079764874
DT17,1.27944638178916,103.852840829581
DT18,1.28206894769394,103.848648781083
DT19,1.28422391919085,103.845143798953
DT20,1.29248194822996,103.844331362465
DT21,1.29891843369422,103.850353762717
DT22,1.3051713878069,103.855295713435
DT23,1.31367252847691,103.862977620945
DT24,1.32130110228321,103.871622627142
DT25,1.32687671501334,103.883247509542
DT26,1.32615024457361,103.889298600376
DT27,1.32997425973974,103.899226655439
DT28,1.33496735995428,103.908459338046
DT29,1.33474211664091,103.91797832995
DT30,1.33660782955099,103.932234623286
DT31,1.34551530560119,103.938436971222
DT32,1.35515041120473,103.943009883131
DT33,1.35619148271544,103.9546344625
DT34,1.34173977444995,103.961472788634
DT35,1.33538252614956,103.962374747451
PTC,1.40519470149606,103.902411911915
TE1,1.44829245259621,103.785692682441
TE2,1.43605761708128,103.787938777173
TE3,1.42739605281442,103.79326432221
TE4,1.39758106126824,103.817856949947
TE5,1.38550657972169,103.835743809669
TE6,1.37146318831015,103.836567766945
TE7,1.36328318545185,103.832893619992
TE8,1.35441643365401,103.832898468504
TE9,1.33724561271722,103.840161782075
TE11,1.31933437435349,103.825566965234
TE12,1.30678223364785,103.818956796815
TE13,1.30242224836722,103.823868523249
TE14,1.30304426265194,103.831375000068
TE15,1.29394816169384,103.833720837731
TE16,1.28850523975311,103.833585838226
TE17,1.28132964411173,103.839137557749
TE18,1.28053329842878,103.843883670633
TE19,1.2777168283425,103.850367596067
TE20,1.27474173226842,103.855309167928
TE22,1.27848725876303,103.867454664421
